Date,Price,Open,High,Low,Vol.,Change %
10/21/2003,646.97,653.46,658.1,644.22,1.35B,-0.89%
10/20/2003,652.76,649.92,653.93,649.92,785.61M,0.48%
10/17/2003,649.65,649.5,652.03,647.3,873.81M,0.05%
10/16/2003,649.3,650.49,654.36,646.94,1.84B,-0.18%
10/15/2003,650.44,649.91,650.7,645.92,1.84B,0.27%
10/14/2003,648.72,644.61,651.01,644.61,1.29B,0.67%
10/13/2003,644.43,646.67,647.93,637.92,1.00B,-0.06%
10/10/2003,644.82,638.21,648.68,638.21,2.06B,1.35%
10/9/2003,636.23,624.5,636.23,624.5,1.95B,1.91%
10/8/2003,624.33,616.07,624.52,616.07,1.48B,1.47%
10/7/2003,615.31,615.21,615.36,610.12,909.29M,-0.09%
10/6/2003,615.87,621.63,623.23,610.94,1.39B,-0.96%
10/3/2003,621.86,619.42,622.74,617.34,908.21M,0.37%
10/2/2003,619.59,607.8,623.79,607.8,1.02B,2.24%
10/1/2003,606.04,597.61,606.04,597.61,729.37M,1.40%
9/30/2003,597.65,597.16,601.19,595.95,709.57M,0.09%
9/29/2003,597.14,597.34,597.91,591.72,1.20B,-0.45%
9/26/2003,599.84,602.76,602.76,596.37,1.22B,-0.64%
9/25/2003,603.71,600.79,606.62,598.6,1.29B,-0.32%
9/24/2003,605.62,588.51,605.62,588.51,1.10B,2.91%
9/23/2003,588.51,583.62,588.51,580.67,1.11B,0.48%
9/19/2003,585.67,582.03,585.67,581.95,1.27B,0.51%
9/18/2003,582.69,584.89,585.77,579.87,1.62B,-0.55%
9/17/2003,585.91,581.91,588.25,581.91,1.20B,0.80%
9/16/2003,581.25,573.94,581.48,573.94,968.37M,1.12%
9/15/2003,574.8,578.38,580.2,569.73,1.12B,-0.62%
9/12/2003,578.38,566.35,578.38,565.83,939.76M,2.25%
9/11/2003,565.64,571.27,571.27,561.33,882.59M,-1.26%
9/10/2003,572.85,584.42,584.42,571.66,1.31B,-2.13%
9/9/2003,585.29,589.42,591.56,582.7,1.97B,-0.30%
9/8/2003,587.06,583.34,588.37,574.07,1.34B,0.81%
9/5/2003,582.32,575.59,590.34,575.59,1.85B,1.24%
9/4/2003,575.19,562.48,576.73,562.48,3.25B,3.03%
9/3/2003,558.25,540.44,558.25,540.44,2.64B,3.58%
9/2/2003,538.94,533.67,538.94,533.67,1.41B,0.86%
9/1/2003,534.34,529.51,534.34,529.51,2.01B,0.88%
8/29/2003,529.67,529.83,531.75,527.53,760.84M,-0.11%
8/28/2003,530.24,531.4,531.61,526.66,1.71B,-0.12%
8/27/2003,530.86,528.08,530.86,526.76,1.83B,0.40%
8/26/2003,528.76,528.48,528.76,523.47,813.25M,-0.05%
8/25/2003,529.04,529.14,531.35,526.18,1.78B,0.02%
8/22/2003,528.94,525.25,528.94,524.6,1.20B,0.64%
8/21/2003,525.58,518.09,525.58,518.09,2.17B,1.31%
8/20/2003,518.78,516.64,518.78,512.58,844.74M,0.33%
8/19/2003,517.05,518.36,520.82,513.98,524.73M,0.08%
8/15/2003,516.65,510.7,516.65,509.85,339.27M,1.28%
8/14/2003,510.13,512.04,512.04,507.57,382.64M,-0.22%
8/13/2003,511.23,507.32,512.49,506.74,651.23M,0.95%
8/12/2003,506.42,504.85,507.24,503.52,434.53M,0.31%
8/11/2003,504.84,505.13,505.72,501.53,778.16M,-0.10%
8/8/2003,505.36,508.53,508.53,503.51,1.23B,-0.57%
8/7/2003,508.27,495.96,508.27,495.96,990.24M,2.80%
8/6/2003,494.44,489.81,494.44,489.81,955.64M,1.21%
8/5/2003,488.53,503.84,503.84,479.82,1.87B,-3.06%
8/4/2003,503.94,508.63,508.63,498.87,1.12B,-0.94%
8/1/2003,508.7,508.11,508.7,505.52,1.10B,0.14%
7/31/2003,507.99,508.72,508.72,504.28,794.54M,-0.05%
7/30/2003,508.22,509.16,509.25,504.25,615.19M,-0.64%
7/29/2003,511.47,513.21,513.21,507.57,283.87M,-0.26%
7/28/2003,512.79,509.64,515.08,509.64,524.50M,0.53%
7/25/2003,510.08,505.49,510.08,504.35,942.61M,1.00%
7/24/2003,505.04,511.15,511.15,496.22,1.02B,-1.48%
7/23/2003,512.62,516.84,516.84,509.02,781.34M,-0.80%
7/22/2003,516.78,519.78,521.2,513.34,1.12B,-0.79%
7/21/2003,520.91,525.5,525.5,517.38,689.42M,-0.87%
7/18/2003,525.5,521.94,525.5,520.11,563.55M,0.37%
7/17/2003,523.55,524.26,526.76,520.6,1.05B,-0.14%
7/16/2003,524.26,533.28,533.28,522.56,686.19M,-1.79%
7/15/2003,533.83,536.13,539.13,531.28,948.00M,-0.21%
7/14/2003,534.96,530.75,534.96,524.82,1.38B,1.96%
7/11/2003,524.69,516.46,524.69,514.05,610.45M,1.24%
7/10/2003,518.25,520.35,521.71,516.7,353.29M,-0.30%
7/9/2003,519.81,519.03,521.09,517.09,854.64M,0.25%
7/8/2003,518.53,511.46,518.53,511.46,1.06B,1.40%
7/7/2003,511.38,504.12,511.38,504.12,444.21M,1.44%
7/4/2003,504.1,505.75,506.35,501.21,177.57M,-0.72%
7/3/2003,507.76,506.54,509.6,504.86,604.94M,0.33%
7/2/2003,506.07,505.13,506.07,503.41,320.62M,0.08%
7/1/2003,505.66,505.47,508.75,502.16,322.48M,0.03%
6/30/2003,505.5,505.87,509.87,503.06,262.29M,-0.25%
6/27/2003,506.78,499.58,506.78,499.58,370.08M,1.80%
6/26/2003,497.81,500.74,501.53,493.27,486.59M,-0.49%
6/25/2003,500.28,500.13,503.75,498.55,317.68M,0.02%
6/24/2003,500.19,504.1,504.1,493.75,413.57M,-1.21%
6/23/2003,506.31,511.3,512.02,503.91,284.80M,-1.00%
6/20/2003,511.45,509.33,513.24,509.33,294.25M,0.32%
6/19/2003,509.83,502.58,509.83,502.47,575.29M,1.31%
6/18/2003,503.23,509.04,509.42,500.26,552.58M,-1.14%
6/17/2003,509.04,515.13,517.09,505.15,696.67M,-0.71%
6/16/2003,512.69,510.39,512.92,510.39,319.29M,0.43%
6/13/2003,510.48,503.75,511.59,503.75,812.25M,1.73%
6/12/2003,501.81,509.65,509.65,499.78,775.52M,-2.70%
6/11/2003,515.71,519.79,524.89,512.6,1.40B,-0.74%
6/10/2003,519.54,519.38,520.25,516.76,854.34M,0.04%
6/9/2003,519.33,510.12,519.57,509.58,1.56B,1.69%
6/6/2003,510.69,511.24,511.31,507.64,1.23B,-0.09%
6/5/2003,511.17,505.83,512.79,505.83,1.42B,1.32%
6/4/2003,504.53,497.04,505.23,496.69,1.20B,0.42%
6/3/2003,502.43,505.75,505.87,499.85,685.91M,-0.65%
6/2/2003,505.72,495.24,505.72,495.24,638.44M,2.21%
5/29/2003,494.78,493.01,500.61,491.94,882.04M,0.40%
5/28/2003,492.82,481.21,492.82,481.21,1.05B,2.61%
5/27/2003,480.27,478.24,480.27,477.33,705.78M,0.39%
5/26/2003,478.41,472.52,478.64,472.52,819.07M,1.33%
5/23/2003,472.11,465.4,472.11,465.4,546.29M,1.50%
5/22/2003,465.13,466.49,467.12,465.06,383.05M,-0.25%
5/21/2003,466.29,466.36,468.8,463.9,375.67M,0.03%
5/20/2003,466.14,456.86,467.05,455.96,394.89M,1.51%
5/19/2003,459.21,466.31,466.31,457.56,285.51M,-1.87%
5/14/2003,467.94,472.29,472.29,464.3,255.21M,-1.18%
5/13/2003,473.51,474.72,478.42,472.25,435.07M,-0.09%
5/12/2003,473.93,469.63,473.93,469.63,373.38M,0.92%
5/9/2003,469.63,470.63,470.63,466.46,521.78M,-0.32%
5/8/2003,471.12,472.67,474.67,468.96,607.53M,-0.42%
5/7/2003,473.13,463.44,473.13,463.44,1.20B,2.05%
5/6/2003,463.61,459.18,465.46,459.18,843.56M,1.01%
5/5/2003,458.96,447.82,458.96,447.82,615.17M,2.49%
5/2/2003,447.82,451.98,452.11,446.9,460.16M,-0.97%
5/1/2003,452.2,452.15,453.55,449.71,595.42M,0.30%
4/30/2003,450.86,444.61,452.63,442.67,962.15M,1.50%
4/29/2003,444.18,433.05,444.18,433.05,850.90M,3.08%
4/28/2003,430.92,430.55,432.99,425.69,404.41M,-0.95%
4/25/2003,435.04,444.08,444.08,433.03,751.24M,-2.27%
4/24/2003,445.15,447.69,447.69,443.38,505.81M,-0.57%
4/23/2003,447.69,442.74,447.69,440.54,759.99M,1.12%
4/22/2003,442.74,447.46,448.27,441.18,782.79M,-1.16%
4/21/2003,447.94,443.73,447.94,442.63,915.80M,0.92%
4/17/2003,443.86,441.24,443.86,440.41,828.40M,0.26%
4/16/2003,442.72,438.05,443.44,438.05,837.23M,1.14%
4/15/2003,437.72,434.97,437.72,429.63,549.05M,0.87%
4/14/2003,433.95,438.37,438.37,432.3,448.65M,-1.05%
4/11/2003,438.55,430.47,438.88,430.47,785.95M,1.88%
4/10/2003,430.45,430.74,431.5,427.98,658.78M,0.04%
4/9/2003,430.28,422.18,432.34,422.07,616.40M,1.94%
4/8/2003,422.11,422.89,428.82,419.13,537.69M,-0.40%
4/7/2003,423.81,406.3,423.81,406.3,850.61M,4.47%
4/4/2003,405.68,400.67,405.68,399.15,235.46M,1.23%
4/3/2003,400.76,398.12,400.76,398.12,184.69M,0.68%
4/1/2003,398.06,397.04,398.06,393.84,129.80M,0.02%
3/31/2003,398,404.47,404.47,395.77,215.76M,-1.59%
3/28/2003,404.43,401.23,404.43,400.79,224.87M,0.77%
3/27/2003,401.34,400.81,403.22,399.93,300.79M,0.07%
3/26/2003,401.04,396.11,401.04,396.11,387.24M,1.54%
3/25/2003,394.94,393.49,394.94,391.01,154.19M,-0.04%
3/24/2003,395.09,395.52,397.42,393.63,216.52M,0.27%
3/21/2003,394.04,394.26,394.93,392.46,208.06M,-0.15%
3/20/2003,394.64,385.48,394.64,385.48,238.33M,2.38%
3/19/2003,385.48,384.89,385.83,383.75,170.17M,0.22%
3/18/2003,384.64,384.98,385.95,383.47,214.07M,0.65%
3/17/2003,382.15,386.38,386.38,380.08,127.83M,-1.48%
3/14/2003,387.88,385.91,389.15,384.64,285.50M,1.05%
3/13/2003,383.86,387.25,387.25,379.85,569.13M,-0.88%
3/12/2003,387.25,379.81,387.25,379.81,219.08M,2.08%
3/11/2003,379.35,382.09,382.09,377.41,283.89M,-0.87%
3/10/2003,382.67,389.77,389.78,381.32,195.28M,-1.83%
3/7/2003,389.79,393.21,393.21,387.75,218.02M,-1.07%
3/6/2003,393.99,391.42,393.99,389.97,286.22M,0.72%
3/5/2003,391.18,395.37,395.42,388.69,247.89M,-1.06%
3/4/2003,395.37,398.74,398.74,394.77,229.17M,-0.96%
2/28/2003,399.22,399.11,399.42,396.44,228.71M,0.07%
2/27/2003,398.95,397.07,398.95,395.92,184.90M,0.35%
2/26/2003,397.54,399.11,399.41,395.93,242.81M,-0.39%
2/25/2003,399.11,400.76,400.76,396.38,171.81M,-0.97%
2/24/2003,403.03,402.18,403.03,399.41,149.42M,0.20%
2/21/2003,402.24,399.86,402.24,399.34,198.94M,0.57%
2/20/2003,399.96,401.43,401.43,398.68,226.31M,-0.50%
2/19/2003,401.95,403.59,404.35,400.3,155.65M,-0.25%
2/18/2003,402.95,404.4,404.42,400.63,138.14M,-0.36%
