Date,Price,Open,High,Low,Vol.,Change %
12/1/2008,1355.41,1240.85,1376.10,1177.86,31.99B,9.17%
11/1/2008,1241.54,1281.51,1430.72,1102.67,43.18B,-1.21%
10/1/2008,1256.70,1766.93,1766.93,1089.34,34.82B,-31.42%
9/1/2008,1832.51,2157.02,2168.80,1592.24,47.69B,-15.39%
8/1/2008,2165.94,2283.02,2283.02,2035.59,33.28B,-6.01%
7/1/2008,2304.51,2361.48,2394.17,2129.40,43.48B,-1.90%
6/1/2008,2349.11,2447.63,2461.05,2316.43,46.08B,-3.90%
5/1/2008,2444.35,2333.56,2516.26,2322.19,62.74B,6.07%
4/1/2008,2304.52,2463.74,2465.82,2167.65,51.48B,-5.83%
3/1/2008,2447.30,2651.88,2689.66,2239.73,43.33B,-10.09%
2/1/2008,2721.94,2657.16,2773.43,2573.41,59.25B,3.60%
1/1/2008,2627.25,2739.59,2838.48,2229.82,65.12B,-4.32%
12/1/2007,2745.83,2703.72,2818.53,2629.07,48.02B,2.14%
11/1/2007,2688.33,2692.51,2737.81,2526.95,80.01B,1.70%
10/1/2007,2643.49,2366.61,2689.92,2366.61,87.67B,12.05%
9/1/2007,2359.21,2194.43,2385.24,2192.79,89.14B,7.51%
8/1/2007,2194.34,2318.70,2322.80,1863.37,55.01B,-6.57%
7/1/2007,2348.67,2140.62,2405.96,2140.62,37.69B,9.79%
6/1/2007,2139.28,2100.68,2167.45,2045.58,51.72B,2.64%
5/1/2007,2084.32,1995.17,2111.83,1987.88,55.07B,4.26%
4/1/2007,1999.17,1837.18,2021.01,1837.18,48.68B,9.19%
3/1/2007,1830.92,1752.11,1833.41,1692.22,44.51B,5.17%
2/1/2007,1740.97,1765.87,1824.99,1664.20,48.30B,-0.93%
1/1/2007,1757.26,1813.45,1843.35,1627.76,50.16B,-2.67%
12/1/2006,1805.52,1720.15,1814.26,1719.34,43.14B,5.04%
11/1/2006,1718.96,1582.70,1738.41,1576.43,36.34B,8.61%
10/1/2006,1582.63,1531.98,1588.53,1515.46,24.10B,3.13%
9/1/2006,1534.62,1431.54,1534.62,1417.24,23.91B,7.22%
8/1/2006,1431.26,1352.74,1441.96,1351.01,24.17B,5.89%
7/1/2006,1351.65,1310.58,1355.18,1277.60,17.00B,3.16%
6/1/2006,1310.26,1340.17,1359.53,1222.28,19.32B,-1.48%
5/1/2006,1330.00,1468.29,1553.49,1272.26,45.52B,-9.18%
4/1/2006,1464.41,1322.47,1499.99,1322.30,34.64B,10.69%
3/1/2006,1322.97,1222.81,1339.82,1222.21,35.57B,7.50%
2/1/2006,1230.66,1233.96,1260.10,1212.29,22.72B,-0.13%
1/1/2006,1232.32,1161.98,1268.63,1161.30,22.65B,5.99%
12/1/2005,1162.63,1095.42,1185.90,1087.16,17.61B,6.02%
11/1/2005,1096.64,1072.88,1096.64,1012.48,10.17B,2.85%
10/1/2005,1066.22,1055.15,1109.80,1053.46,18.42B,-1.21%
9/1/2005,1079.28,1028.82,1106.81,1008.39,20.73B,2.78%
8/1/2005,1050.09,1180.49,1195.55,951.21,35.76B,-11.18%
7/1/2005,1182.30,1124.30,1187.79,1101.99,29.28B,5.34%
6/1/2005,1122.38,1087.56,1148.80,1079.14,22.34B,3.14%
5/1/2005,1088.17,1031.10,1088.21,1021.40,18.40B,5.69%
4/1/2005,1029.61,1081.52,1121.46,1011.38,24.50B,-4.68%
3/1/2005,1080.16,1074.25,1156.96,1056.55,49.89B,0.59%
2/1/2005,1073.83,1046.10,1109.48,1034.15,30.77B,2.72%
1/1/2005,1045.43,1000.55,1049.13,994.53,34.67B,4.52%
12/1/2004,1000.23,977.83,1007.50,910.99,32.78B,2.30%
11/1/2004,977.77,860.65,977.77,857.57,24.28B,13.63%
10/1/2004,860.49,820.69,864.62,820.52,32.96B,4.92%
9/1/2004,820.13,755.96,829.57,755.95,28.41B,8.67%
8/1/2004,754.70,755.14,763.95,728.35,14.07B,-0.30%
7/1/2004,756.98,728.22,772.35,722.75,23.94B,3.36%
6/1/2004,732.40,731.51,732.40,683.92,15.63B,-0.02%
5/1/2004,732.52,785.40,786.38,665.96,24.51B,-6.50%
4/1/2004,783.41,735.68,824.51,729.77,31.41B,6.49%
3/1/2004,735.68,760.90,781.23,700.18,27.38B,-3.34%
2/1/2004,761.08,748.49,796.07,725.22,33.41B,1.08%
1/1/2004,752.93,691.38,788.25,688.00,42.72B,8.82%
12/1/2003,691.89,617.26,700.96,617.26,23.95B,12.12%
11/1/2003,617.08,624.27,642.41,598.74,8.80B,-1.35%
10/1/2003,625.55,597.61,658.10,597.61,27.29B,4.67%
9/1/2003,597.65,529.51,606.62,529.51,30.41B,12.83%
8/1/2003,529.67,508.11,531.75,479.82,21.47B,4.27%
7/1/2003,507.99,505.47,539.13,496.22,16.14B,0.49%
6/1/2003,505.50,495.24,524.89,493.27,15.14B,2.17%
5/1/2003,494.78,452.15,500.61,446.90,11.35B,9.74%
4/1/2003,450.86,397.04,452.63,393.84,12.60B,13.28%
3/1/2003,398.00,398.74,404.47,377.41,4.99B,-0.31%
2/1/2003,399.22,388.23,404.93,387.95,3.50B,2.78%
1/1/2003,388.44,423.34,423.34,386.81,5.31B,-8.59%
